[DEBUG] [2024-12-02 12:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 202d8839c8224ecb98d1f4f0f486ae99, msgType : 19
[DEBUG] [2024-12-02 12:00:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 790b71ef84db44c48fc640bc3347179f, msgType : 19
[DEBUG] [2024-12-02 12:00:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2f59c55c6b004da6aec525d1705110cb, msgType : 19
[DEBUG] [2024-12-02 12:00:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ce9e3d4c5e7c42d69b582dbdd27d27be, msgType : 19
[DEBUG] [2024-12-02 12:00:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 96d464d6ff784e0e90b52fc4772bb9c8, msgType : 19
[DEBUG] [2024-12-02 12:00:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c0cde12c1ca143d290f09b118918821b, msgType : 19
[DEBUG] [2024-12-02 12:00:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 218c3430de2649178e330ac366f821ec, msgType : 19
[DEBUG] [2024-12-02 12:00:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0f76c4efb01448d9a2218a399617ede1, msgType : 19
[DEBUG] [2024-12-02 12:00:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 82ab7f41e6f049e098c3127b0d5242af, msgType : 19
[DEBUG] [2024-12-02 12:00:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4b764899caae4f0299582ea064240fb3, msgType : 19
[DEBUG] [2024-12-02 12:00:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fed9bd9ec4ea43569300808345a7c1bf, msgType : 19
[DEBUG] [2024-12-02 12:00:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e0ec4c07d55440eaa8c8b8c6786a94f7, msgType : 19
[DEBUG] [2024-12-02 12:00:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c1b1bf1697b149c69333788926254f9e, msgType : 19
[DEBUG] [2024-12-02 12:00:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 271a15522f904f7f970f2a73a4f3c56f, msgType : 19
[DEBUG] [2024-12-02 12:00:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a92b83186fa54f1f8a8e79216c740356, msgType : 19
[DEBUG] [2024-12-02 12:00:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d30a91d7b69e437ca385eafe957ec100, msgType : 19
[DEBUG] [2024-12-02 12:00:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c358f7349da949459936a46d265c74ed, msgType : 19
[DEBUG] [2024-12-02 12:00:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1598b8d5cd9e4c98b7c11b39e1679536, msgType : 19
[DEBUG] [2024-12-02 12:00:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8c621c6a679c42efabbaa88861bd13a1, msgType : 19
[DEBUG] [2024-12-02 12:00:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c610b21f09f748f4821aabf8de80f12d, msgType : 19
[DEBUG] [2024-12-02 12:00:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 47114d010cda4dc6912249209fd7eb77, msgType : 19
[DEBUG] [2024-12-02 12:00:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cf010721fd6f4f63bfcc2de403d63907, msgType : 19
[DEBUG] [2024-12-02 12:00:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e8b789e1938240738feeacf6d027d1f1, msgType : 19
[DEBUG] [2024-12-02 12:00:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8b639872a5ca4766bd6b90feddb89694, msgType : 19
[DEBUG] [2024-12-02 12:00:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1e8eeace7b2a4d8eb28d33a96a74919c, msgType : 19
[DEBUG] [2024-12-02 12:00:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6f564bb34f114495b8b35b3bd9e3a4ae, msgType : 19
[DEBUG] [2024-12-02 12:00:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 43caed79750d4f739719fdca4f526607, msgType : 19
[DEBUG] [2024-12-02 12:00:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a871d1366ec74bc9886b5144d942d363, msgType : 19
[DEBUG] [2024-12-02 12:00:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4807d6fc02b1454cb3d772893ce53577, msgType : 19
[DEBUG] [2024-12-02 12:00:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0a59f5e445994f67a2ccc9e3fbea93b9, msgType : 19
[DEBUG] [2024-12-02 12:01:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fb3784c89f5a4d0c990728e52202b39c, msgType : 19
[DEBUG] [2024-12-02 12:01:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c91745d24dd9475f8329d07dc078b558, msgType : 19
[DEBUG] [2024-12-02 12:01:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 092c3f332d83435ba1a059b2df887735, msgType : 19
[DEBUG] [2024-12-02 12:01:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4175ac55a7bf44a889613bc8b29120c9, msgType : 19
[DEBUG] [2024-12-02 12:01:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7815e22f77124483bc85a58455700a27, msgType : 19
[DEBUG] [2024-12-02 12:01:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e5ab9e8eef4344dea4412cfc1caf5a56, msgType : 19
[DEBUG] [2024-12-02 12:01:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7fb20ed9a8ab45bb9d04e07e5eb05e57, msgType : 19
[DEBUG] [2024-12-02 12:01:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e7cecc9dfd474b4d83b47866c3fe88d1, msgType : 19
[DEBUG] [2024-12-02 12:01:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f91e292cb90844569cc83796f988dda5, msgType : 19
[DEBUG] [2024-12-02 12:01:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4c57ab5997604a4185f0ca0e237c22f9, msgType : 19
[DEBUG] [2024-12-02 12:01:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f1f931479e0d45f3af0194a3326e6c21, msgType : 19
[DEBUG] [2024-12-02 12:01:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f050287acdd746edaa45e4dd201af53d, msgType : 19
[DEBUG] [2024-12-02 12:01:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 024ab3ae476f47fea814b88d7e251e2e, msgType : 19
[DEBUG] [2024-12-02 12:01:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c1014764c803471db4bfa92c0feffd38, msgType : 19
[DEBUG] [2024-12-02 12:01:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 483086a86aad4c15ba0ee2e433c4250d, msgType : 19
[DEBUG] [2024-12-02 12:01:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 81edb7e36f6f45fcaa7f23b978a2b0ab, msgType : 19
[DEBUG] [2024-12-02 12:01:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5bace7dd200a4b0da541476046f6c7b0, msgType : 19
[DEBUG] [2024-12-02 12:01:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 38074729a13f419ea16e59b06b11ae18, msgType : 19
[DEBUG] [2024-12-02 12:01:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ab6991e521ec4afd8773ecb35d122a88, msgType : 19
[DEBUG] [2024-12-02 12:01:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f1df42417037458da67e7af00f290e25, msgType : 19
[DEBUG] [2024-12-02 12:01:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c2959d2c22d344c781ec5903a3980156, msgType : 19
[DEBUG] [2024-12-02 12:01:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e05a8b1441cc4004a184985bcc4f17ca, msgType : 19
[DEBUG] [2024-12-02 12:01:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2b8ac79e5ef9473f9c1f13050e3075b7, msgType : 19
[DEBUG] [2024-12-02 12:01:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9b2967d8c5634b0498f6176c2a6de59d, msgType : 19
[DEBUG] [2024-12-02 12:01:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1baa75d3d9cf479395c2ffb7d26f8bdc, msgType : 18
[DEBUG] [2024-12-02 12:01:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c3493f5de04e4a228fd03e2487ae4a72, msgType : 18
[DEBUG] [2024-12-02 12:01:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1f94c1f1141d41ada68afff30fc0f89b, msgType : 19
[DEBUG] [2024-12-02 12:01:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 070d3cb0bcce47448e8ce9e012c57ffd, msgType : 19
[DEBUG] [2024-12-02 12:01:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c27dbdcaef5e43519c3a756e15e950c2, msgType : 19
[DEBUG] [2024-12-02 12:01:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f4f6afb8040a4436b77f365d464fa761, msgType : 19
[DEBUG] [2024-12-02 12:01:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bd19d66bfbf6498cba4ca6cc1266ab5e, msgType : 19
[DEBUG] [2024-12-02 12:01:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 34617f68ad9843a78fb30584c902dbed, msgType : 19
[DEBUG] [2024-12-02 12:01:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7168a08dfc68424fb1c0ff0dd4d04d8f, msgType : 19
[DEBUG] [2024-12-02 12:01:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5287361190ee4d669d6b4a561456d1fc, msgType : 19
[DEBUG] [2024-12-02 12:01:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4158b2eef5f144e59d2b10fa9a6d861c, msgType : 19
[DEBUG] [2024-12-02 12:01:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 40fae6f21db44613830c4cf274850bf9, msgType : 19
[DEBUG] [2024-12-02 12:01:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bf8916089beb4591b7d3a3060d0e34b8, msgType : 19
[DEBUG] [2024-12-02 12:01:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5ff04878e17946369e6e1538a9cb4358, msgType : 19
[DEBUG] [2024-12-02 12:01:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 98ab9c756bd14d278e21cb13990ecf1f, msgType : 19
[DEBUG] [2024-12-02 12:01:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b1c7f78f2e1047a7841b675a2a33c353, msgType : 19
[DEBUG] [2024-12-02 12:01:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 98ee07b72adc4ebfa92f4b880439069c, msgType : 19
[DEBUG] [2024-12-02 12:01:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cb482168c6a94888ae9b9c4acadef040, msgType : 19
[DEBUG] [2024-12-02 12:01:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 68cddb0c98dd4beda92cd1f04a0cca05, msgType : 19
[DEBUG] [2024-12-02 12:01:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a05bd1b0526745d5bb3ea0f8d711d053, msgType : 19
[DEBUG] [2024-12-02 12:01:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fddec84f2eb5479bab73a3a6bb720e84, msgType : 19
[DEBUG] [2024-12-02 12:01:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 115df22f8d3b4be597b70dac894edecc, msgType : 19
[DEBUG] [2024-12-02 12:01:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b759d76e3d544788bf2147ac88b44746, msgType : 19
[DEBUG] [2024-12-02 12:01:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3caa5c8a57b44b309c7b888ad8de0bc9, msgType : 19
[DEBUG] [2024-12-02 12:01:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : aa02e674c04946ceb41b7c79fc7d39dd, msgType : 19
[DEBUG] [2024-12-02 12:01:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 226515e972e5430b8b2f83e3884dc4df, msgType : 19
[DEBUG] [2024-12-02 12:01:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f25ef95f59e346f6ba6c0afbf93d5ae2, msgType : 19
[DEBUG] [2024-12-02 12:01:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d80297aa086e481abb52447fd0233e6f, msgType : 19
[DEBUG] [2024-12-02 12:01:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e91e9dbfdf0d4eb4ac8f14854cb42708, msgType : 19
[DEBUG] [2024-12-02 12:01:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1e1e8c3a0d604c149cc73d9a1216dca2, msgType : 19
[DEBUG] [2024-12-02 12:01:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 75ba374af2c5420fa46eb7d453e03764, msgType : 19
[DEBUG] [2024-12-02 12:01:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3afec5b565304c579feb5a7a55eeddb5, msgType : 19
[DEBUG] [2024-12-02 12:01:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6364fe9024c2448ea83109f2ec3adf4b, msgType : 19
[DEBUG] [2024-12-02 12:01:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 852f24b2a5ad4071aae46386ea37e0c0, msgType : 19
[DEBUG] [2024-12-02 12:01:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5c8ada5525774d969dcea2926952c828, msgType : 19
[DEBUG] [2024-12-02 12:01:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 423fd31662214050a7a5c6fdea67f5a1, msgType : 19
[DEBUG] [2024-12-02 12:01:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : eafdb3e4768b4c0793c69a6a5b1de1a4, msgType : 19
[DEBUG] [2024-12-02 12:01:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 17827b4772e8462490f898b123defd87, msgType : 19
[DEBUG] [2024-12-02 12:02:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cff9d72095de485e8dedebb87f8ba3be, msgType : 19
[DEBUG] [2024-12-02 12:02:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7362cf73389b4dbeb3dd4dd1ce60cbbc, msgType : 19
[DEBUG] [2024-12-02 12:02:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 43932194fd024e55a193fed0823a07c3, msgType : 19
[DEBUG] [2024-12-02 12:02:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 61a61ff8c0ff43c899f3de15933ac084, msgType : 19
[DEBUG] [2024-12-02 12:02:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e1c256418db44eebbebdbcc8fa94f707, msgType : 19
[DEBUG] [2024-12-02 12:02:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c01b9c4869614578941466bf0c1a04ed, msgType : 19
[DEBUG] [2024-12-02 12:02:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 570c80f057fe4c8189b4ddfe52acb762, msgType : 19
[DEBUG] [2024-12-02 12:02:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1254cd2e320848a1b050e625d016108a, msgType : 19
[DEBUG] [2024-12-02 12:02:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7b2e68d0825d4fc5b086b3035e75bdf4, msgType : 19
